COMMUNE_NOM,COLL_INSEE,ENFANT_SEXE,ENFANT_PRENOM,NOMBRE_OCCURRENCES,ANNEE
Paris,75056,F,Méllina,5,2014
Paris,75056,F,Milica,5,2014
Paris,75056,M,Mohamed,200,2014
Paris,75056,M,Mohamed-Lamine,6,2014
Paris,75056,M,Ousmane,19,2014
Paris,75056,M,Paul,269,2014
Paris,75056,M,Pierre-Louis,6,2014
Paris,75056,F,Ranya,7,2014
Paris,75056,F,Safiya,11,2014
Paris,75056,M,Sam,15,2014
Paris,75056,F,Siham,5,2014
Paris,75056,M,Taha,5,2014
Paris,75056,F,Talia,18,2014
Paris,75056,M,Timothé,20,2014
Paris,75056,F,Tiphaine,8,2014
Paris,75056,M,Titouan,21,2014
Paris,75056,F,Valeria,5,2014
Paris,75056,M,Yanis,86,2014
Paris,75056,M,Abd,5,2015
Paris,75056,M,Abdoul,7,2015
Paris,75056,M,Ahmed,33,2015
Paris,75056,F,Anaïs,98,2015
Paris,75056,M,Anas,28,2015
Paris,75056,F,Asma,19,2015
Paris,75056,F,Augustine,14,2015
Paris,75056,F,Carla,16,2015
Paris,75056,M,Cheikh,6,2015
Paris,75056,F,Dalia,13,2015
Paris,75056,M,Damien,10,2015
Paris,75056,F,Daphné,34,2015
Paris,75056,F,Daria,9,2015
Paris,75056,F,Elisabeth,18,2015
Paris,75056,M,Elliot,24,2015
Paris,75056,F,Estelle,19,2015
Paris,75056,F,Éva,15,2015
Paris,75056,F,Evy,11,2015
Paris,75056,M,Gianni,7,2015
Paris,75056,F,Grace,8,2015
Paris,75056,F,Hadja,6,2015
Paris,75056,M,Hugo,117,2015
Paris,75056,F,Isabella,5,2015
Paris,75056,M,Iyad,14,2015
Paris,75056,M,Iyed,13,2015
Paris,75056,F,Jade,114,2015
Paris,75056,M,Jayden,23,2015
Paris,75056,M,Kaïs,48,2015
Paris,75056,F,Kheira,5,2015
Paris,75056,M,Léo,128,2015
Paris,75056,M,Léonard,74,2015
Paris,75056,F,Liv,30,2015
Paris,75056,F,Loïs,6,2015
Paris,75056,F,Ludivine,8,2015
Paris,75056,F,Lyah,5,2015
Paris,75056,F,Lylia,8,2015
Paris,75056,M,Mady,5,2015
Paris,75056,F,Maëlie,5,2015
Paris,75056,F,Mahault,8,2015
Paris,75056,M,Mateo,12,2015
Paris,75056,M,Mathias,31,2015
Paris,75056,M,Matisse,9,2015
Paris,75056,M,Matthew,7,2015
Paris,75056,F,May,6,2015
Paris,75056,M,Michel,6,2015
Paris,75056,F,Noa,30,2015
Paris,75056,M,Nohé,7,2015
Paris,75056,M,Omar,27,2015
Paris,75056,F,Ornella,5,2015
Paris,75056,M,Oscar,133,2015
Paris,75056,F,Romaïssa,5,2015
Paris,75056,M,Roméo,23,2015
Paris,75056,M,Samuel,104,2015
Paris,75056,M,Samy,35,2015
Paris,75056,F,Sasha,37,2015
Paris,75056,F,Sienna,14,2015
Paris,75056,F,Simone,7,2015
Paris,75056,F,Sophia,58,2015
Paris,75056,M,Timothé,25,2015
Paris,75056,F,Vera,7,2015
Paris,75056,M,Yannis,8,2015
Paris,75056,M,Younes,27,2015
Paris,75056,M,Zack,5,2015
Paris,75056,M,Zadig,12,2015
Paris,75056,F,Zoé,118,2015
Paris,75056,M,Achille,56,2016
Paris,75056,M,Adriel,5,2016
Paris,75056,F,Amel,8,2016
Paris,75056,M,Andréa,8,2016
Paris,75056,M,Archibald,9,2016
Paris,75056,M,Armand,38,2016
Paris,75056,M,Aurélien,22,2016
Paris,75056,F,Blanche,38,2016
Paris,75056,F,Camélia,17,2016
Paris,75056,F,Céline,17,2016
Paris,75056,M,Constant,9,2016
Paris,75056,M,Damien,8,2016
Paris,75056,M,Dan,11,2016
Paris,75056,M,Éden,5,2016
Paris,75056,F,Emmanuelle,15,2016
Paris,75056,F,Eulalie,7,2016
Paris,75056,F,Ève,8,2016
Paris,75056,M,Fadi,5,2016
Paris,75056,F,Geneviève,5,2016
Paris,75056,M,Gianni,5,2016
Paris,75056,M,Grégoire,22,2016
Paris,75056,F,Helena,10,2016
Paris,75056,M,Ilian,11,2016
Paris,75056,M,Issa,45,2016
Paris,75056,M,Joseph,175,2016
Paris,75056,F,Judith,14,2016
Paris,75056,F,Julia,91,2016
Paris,75056,F,Kadidia,5,2016
Paris,75056,M,Kaïs,38,2016
Paris,75056,M,Karim,6,2016
Paris,75056,F,Lana,42,2016
Paris,75056,M,Léandre,23,2016
Paris,75056,M,Léonard,49,2016
Paris,75056,F,Linda,5,2016
Paris,75056,M,Loïs,5,2016
Paris,75056,M,Lorenzo,25,2016
Paris,75056,F,Ludivine,8,2016
Paris,75056,F,Lyne,5,2016
Paris,75056,F,Maïlys,8,2016
Paris,75056,M,Malick,9,2016
Paris,75056,M,Malik,18,2016
Paris,75056,F,Maryam,31,2016
Paris,75056,M,Mateo,15,2016
Paris,75056,M,Mathis,69,2016
Paris,75056,M,Matisse,7,2016
Paris,75056,F,Mayline,8,2016
Paris,75056,F,Mélissa,26,2016
Paris,75056,M,Melvil,14,2016
Paris,75056,M,Muhammad,7,2016
Paris,75056,M,Nahyl,6,2016
Paris,75056,M,Naïl,11,2016
Paris,75056,F,Neïla,11,2016
Paris,75056,F,Noah,5,2016
Paris,75056,F,Nour,65,2016
Paris,75056,M,Pierre,43,2016
Paris,75056,F,Prune,12,2016
Paris,75056,F,Rafaela,5,2016
Paris,75056,M,Raphaël,342,2016
Paris,75056,M,Ryad,5,2016
Paris,75056,F,Sarah,164,2016
Paris,75056,F,Sira,8,2016
Paris,75056,M,Soan,14,2016
Paris,75056,F,Tal,7,2016
Paris,75056,M,Timothé,19,2016
Paris,75056,M,Tristan,41,2016
Paris,75056,M,Viktor,11,2016
Paris,75056,M,Yacoub,5,2016
Paris,75056,M,Zéphyr,5,2016
Paris,75056,M,Adonis,5,2017
Paris,75056,M,Adrien,72,2017
Paris,75056,F,Aïcha,50,2017
Paris,75056,F,Alana,6,2017
Paris,75056,F,Aliyah,19,2017
Paris,75056,F,Alyah,7,2017
Paris,75056,M,Ambroise,21,2017
Paris,75056,F,Amira,22,2017
Paris,75056,F,Anaëlle,17,2017
Paris,75056,M,Andy,7,2017
Paris,75056,F,Armance,6,2017
Paris,75056,M,Augustin,161,2017
Paris,75056,F,Awa,26,2017
Paris,75056,M,Aymen,27,2017
Paris,75056,M,Balthazar,19,2017
Paris,75056,F,Billie,20,2017
Paris,75056,F,Charline,16,2017
Paris,75056,M,Cheikh,11,2017
Paris,75056,F,Dahlia,9,2017
Paris,75056,F,Eléa,18,2017
Paris,75056,F,Elisa,45,2017
Paris,75056,M,Elyes,11,2017
Paris,75056,M,Ernest,46,2017
Paris,75056,F,Ethel,10,2017
Paris,75056,F,Eva,101,2017
Paris,75056,M,Hadrien,30,2017
Paris,75056,M,Haron,7,2017
Paris,75056,F,Helena,5,2017
Paris,75056,M,Issa,39,2017
Paris,75056,M,Jayden,28,2017
Paris,75056,M,Jérémie,6,2017
Paris,75056,F,Joyce,9,2017
Paris,75056,M,Julien,22,2017
Paris,75056,F,Laure,6,2017
Paris,75056,F,Laurine,5,2017
Paris,75056,M,Lazar,5,2017
Paris,75056,F,Liya,7,2017
Paris,75056,M,Luka,22,2017
Paris,75056,F,Madeleine,64,2017
Paris,75056,F,Mahaut,17,2017
Paris,75056,M,Malik,20,2017
Paris,75056,M,Marcello,8,2017
Paris,75056,F,Margaux,105,2017
Paris,75056,F,Mariam,55,2017
Paris,75056,F,Marion,9,2017
Paris,75056,M,Mathias,20,2017
Paris,75056,M,Matthieu,20,2017
Paris,75056,F,Nana,5,2017
Paris,75056,M,Nassim,28,2017
Paris,75056,M,Nayel,5,2017
Paris,75056,F,Nelia,7,2017
Paris,75056,F,Nicole,5,2017
Paris,75056,F,Nourane,5,2017
Paris,75056,M,Raphael,14,2017
Paris,75056,F,Salimata,12,2017
Paris,75056,M,Sidney,5,2017
Paris,75056,M,Soren,13,2017
Paris,75056,M,Souleymane,25,2017
Paris,75056,F,Thelma,32,2017
Paris,75056,M,Ulysse,64,2017
Paris,75056,F,Violette,20,2017
Paris,75056,M,Wael,13,2017
Paris,75056,M,Yann,19,2017
Paris,75056,M,Zakarya,10,2017
Paris,75056,M,Abdoul-Aziz,5,2018
Paris,75056,F,Aimée,10,2018
Paris,75056,M,Albin,10,2018
Paris,75056,F,Angèle,7,2018
Paris,75056,M,Anir,5,2018
Paris,75056,F,Asma,11,2018
Paris,75056,F,Audrey,8,2018
Paris,75056,F,Awa,25,2018
Paris,75056,M,Benoît,7,2018
Paris,75056,F,Castille,23,2018
Paris,75056,F,Constance,48,2018
Paris,75056,F,Dania,15,2018
Paris,75056,F,Eve,5,2018
Paris,75056,F,Fatou,21,2018
Paris,75056,M,Hamza,33,2018
Paris,75056,M,Hussein,6,2018
Paris,75056,M,Imran,39,2018
Paris,75056,F,Janna,16,2018
Paris,75056,M,Jean-Baptiste,6,2018
Paris,75056,F,Jessie,5,2018
Paris,75056,F,Layane,9,2018
Paris,75056,F,Léonie,77,2018
Paris,75056,F,Lola,30,2018
Paris,75056,M,Lukas,9,2018
Paris,75056,M,Mamadou,30,2018
Paris,75056,F,Marianne,16,2018
Paris,75056,M,Mark,6,2018
Paris,75056,M,Matei,7,2018
Paris,75056,M,Mathieu,18,2018
Paris,75056,M,Matthias,12,2018
Paris,75056,M,Mayeul,12,2018
Paris,75056,M,Meyron,6,2018
Paris,75056,M,Mylan,9,2018
Paris,75056,M,Nabil,7,2018
Paris,75056,M,Nassim,11,2018
Paris,75056,M,Oscar,146,2018
Paris,75056,M,Paulin,6,2018
Paris,75056,F,Rita,15,2018
Paris,75056,M,Robinson,5,2018
Paris,75056,M,Roméo,30,2018
Paris,75056,M,Sébastien,8,2018
Paris,75056,F,Selma,23,2018
Paris,75056,F,Tara,12,2018
Paris,75056,M,Theodore,6,2018
Paris,75056,M,Victor,206,2018
Paris,75056,M,Vladimir,9,2018
Paris,75056,F,Yuna,10,2018
Paris,75056,M,Arthur,282,2019
Paris,75056,M,Alexandre,157,2019
Paris,75056,F,Nina,124,2019
Paris,75056,F,Victoire,114,2019
Paris,75056,M,Thomas,76,2019
Paris,75056,F,Céleste,66,2019
Paris,75056,M,Ayden,60,2019
Paris,75056,M,Eden,60,2019
Paris,75056,M,Robin,52,2019
Paris,75056,F,Albane,36,2019
Paris,75056,F,Blanche,36,2019
Paris,75056,F,Daphné,36,2019
Paris,75056,F,Assia,33,2019
Paris,75056,M,Noa,30,2019
Paris,75056,F,Faustine,29,2019
Paris,75056,F,Louisa,28,2019
Paris,75056,M,Roman,25,2019
Paris,75056,F,Billie,25,2019
Paris,75056,M,Jacob,23,2019
Paris,75056,M,Marc,23,2019
Paris,75056,M,Théophile,23,2019
Paris,75056,M,Thibault,22,2019
Paris,75056,F,Oumou,20,2019
Paris,75056,F,Stella,20,2019
Paris,75056,M,Swann,17,2019
Paris,75056,F,Mona,17,2019
Paris,75056,M,Mahamadou,16,2019
Paris,75056,F,Dania,16,2019
Paris,75056,M,Sekou,12,2019
Paris,75056,F,Leila,12,2019
Paris,75056,M,Mouhamadou,11,2019
Paris,75056,F,Halima,11,2019
Paris,75056,M,Mathieu,10,2019
Paris,75056,F,Layana,10,2019
Paris,75056,M,Ewen,9,2019
Paris,75056,M,Guillaume,9,2019
Paris,75056,M,Bilel,8,2019
Paris,75056,M,Emilio,8,2019
Paris,75056,F,Johanna,6,2020
Paris,75056,F,Khadidja,6,2020
Paris,75056,F,Lucy,6,2020
Paris,75056,M,Aliou,5,2020
Paris,75056,M,Hamidou,5,2020
Paris,75056,M,Lukas,5,2020
Paris,75056,M,Priam,5,2020
Paris,75056,F,Alizée,5,2020
Paris,75056,F,Camilla,5,2020
Paris,75056,F,Malaïka,5,2020
Paris,75056,F,Rayhana,5,2020
Paris,75056,F,Zohra,5,2020
Paris,75056,F,Jeanne,138,2021
Paris,75056,M,Alexandre,134,2021
Paris,75056,F,Ava,124,2021
Paris,75056,F,Nina,117,2021
Paris,75056,M,Noé,114,2021
Paris,75056,M,Basile,98,2021
Paris,75056,F,Jade,93,2021
Paris,75056,M,Martin,90,2021
Paris,75056,F,Giulia,69,2021
Paris,75056,F,Manon,60,2021
Paris,75056,F,Lucie,59,2021
Paris,75056,M,Pablo,47,2021
Paris,75056,M,Ezra,45,2021
Paris,75056,M,Marcel,44,2021
Paris,75056,F,Aïcha,43,2021
Paris,75056,F,Elena,42,2021
Paris,75056,M,Elie,40,2021
Paris,75056,F,Olympe,37,2021
Paris,75056,M,Aurèle,34,2021
Paris,75056,M,Jacques,32,2021
Paris,75056,M,Hamza,31,2021
Paris,75056,F,Pénélope,26,2021
Paris,75056,F,Zélie,25,2021
Paris,75056,F,Judith,24,2021
Paris,75056,F,Amina,23,2021
Paris,75056,F,Lena,22,2021
Paris,75056,F,Astrid,21,2021
Paris,75056,F,Jana,21,2021
Paris,75056,M,Lenny,19,2021
Paris,75056,M,Romain,19,2021
Paris,75056,M,Kamil,18,2021
Paris,75056,M,Khalil,16,2021
Paris,75056,M,Daouda,15,2021
Paris,75056,M,Swann,15,2021
Paris,75056,F,Elisabeth,14,2021
Paris,75056,F,Jannah,14,2021
Paris,75056,M,Julien,14,2021
Paris,75056,M,Sekou,14,2021
Paris,75056,F,Nola,12,2021
Paris,75056,F,Khadidja,11,2021
Paris,75056,F,Nessa,11,2021
Paris,75056,M,Wassim,11,2021
Paris,75056,F,Amy,10,2021
Paris,75056,M,Waël,10,2021
Paris,75056,F,Adama,9,2021
Paris,75056,F,Coumba,9,2021
Paris,75056,M,Ilian,9,2021
Paris,75056,M,Marco,9,2021
Paris,75056,F,Joanne,8,2021
Paris,75056,F,Sana,8,2021
Paris,75056,F,Eléna,7,2021
Paris,75056,F,Eya,7,2021
Paris,75056,F,Selena,7,2021
Paris,75056,M,Aden,7,2021
Paris,75056,M,Alfred,7,2021
Paris,75056,M,Kenzo,7,2021
Paris,75056,M,Mady,7,2021
Paris,75056,M,Mylan,7,2021
Paris,75056,M,Selim,7,2021
Paris,75056,F,Aby,6,2021
Paris,75056,F,Aïssatou,6,2021
Paris,75056,F,Dalia,6,2021
Paris,75056,F,Elissa,6,2021
Paris,75056,F,Enora,6,2021
Paris,75056,F,Mayline,6,2021
Paris,75056,F,Sakina,6,2021
Paris,75056,M,Akram,6,2021
Paris,75056,M,Elyo,6,2021
Paris,75056,M,Kenan,6,2021
Paris,75056,M,Kenzi,6,2021
Paris,75056,M,Leon,6,2021
Paris,75056,M,Olivier,6,2021
Paris,75056,M,Tyler,6,2021
Paris,75056,F,Elsie,5,2021
Paris,75056,F,Linda,5,2021
Paris,75056,F,Milena,5,2021
Paris,75056,F,Olympia,5,2021
Paris,75056,M,Masten,5,2021
Paris,75056,M,Tony,5,2021
Paris,75056,F,Assil,8,2019
Paris,75056,F,Ayna,7,2019
Paris,75056,F,Béatrice,7,2019
Paris,75056,F,Hajar,7,2019
Paris,75056,F,Marta,7,2019
Paris,75056,F,Zeinab,7,2019
Paris,75056,M,Elhadj,6,2019
Paris,75056,M,Eloi,6,2019
Paris,75056,M,Timothy,6,2019
Paris,75056,M,Warren,6,2019
Paris,75056,F,Ayla,6,2019
Paris,75056,F,Nell,6,2019
Paris,75056,F,Sélène,6,2019
Paris,75056,F,Suzie,6,2019
Paris,75056,M,Aliocha,5,2019
Paris,75056,M,Kyan,5,2019
Paris,75056,F,Avigaïl,5,2019
Paris,75056,F,Cara,5,2019
Paris,75056,F,Elyna,5,2019
Paris,75056,F,Layel,5,2019
Paris,75056,F,Maïssane,5,2019
Paris,75056,M,Adam,285,2020
Paris,75056,F,Louise,208,2020
Paris,75056,M,Basile,117,2020
Paris,75056,M,Auguste,98,2020
Paris,75056,F,Lucie,62,2020
Paris,75056,F,Madeleine,48,2020
Paris,75056,M,Youssef,46,2020
Paris,75056,F,Éléonore,38,2020
Paris,75056,M,Elio,36,2020
Paris,75056,M,Aurèle,34,2020
Paris,75056,M,Kaïs,32,2020
Paris,75056,F,Elisa,32,2020
Paris,75056,F,Hannah,32,2020
Paris,75056,F,Jannah,30,2020
Paris,75056,M,Kylian,27,2020
Paris,75056,M,Gaston,25,2020
Paris,75056,M,Nael,25,2020
Paris,75056,F,Ana,24,2020
Paris,75056,F,Sara,23,2020
Paris,75056,F,Emilie,22,2020
Paris,75056,M,Aboubacar,21,2020
Paris,75056,M,Isaïah,21,2020
Paris,75056,F,Anastasia,20,2020
Paris,75056,F,Esmée,16,2020
Paris,75056,F,Maïmouna,14,2020
Paris,75056,M,Zakariya,13,2020
Paris,75056,F,Anne,13,2020
Paris,75056,F,Zaynab,13,2020
Paris,75056,M,Yahya,12,2020
Paris,75056,F,Andrea,12,2020
Paris,75056,M,Alassane,11,2020
Paris,75056,M,Kamil,11,2020
Paris,75056,F,Isis,11,2020
Paris,75056,M,Alphonse,9,2020
Paris,75056,M,Marlon,9,2020
Paris,75056,F,Fatim,8,2020
Paris,75056,F,Khady,8,2020
Paris,75056,F,Maëva,8,2020
Paris,75056,F,Naïa,8,2020
Paris,75056,F,Simone,8,2020
Paris,75056,M,Arthus,7,2020
Paris,75056,M,Elyo,7,2020
Paris,75056,M,Foucauld,7,2020
Paris,75056,M,Mylann,7,2020
Paris,75056,M,Vasco,7,2020
Paris,75056,M,Wael,7,2020
Paris,75056,M,Waël,7,2020
Paris,75056,F,Leïa,7,2020
Paris,75056,F,Maram,7,2020
Paris,75056,F,Mira,7,2020
Paris,75056,F,Razane,7,2020
Paris,75056,M,Jamal,6,2020
Paris,75056,M,Mayeul,6,2020
Paris,75056,M,Safwan,6,2020
Paris,75056,M,Xavier,6,2020
Paris,75056,F,Janelle,6,2020
Paris,75056,F,Ada,5,2012
Paris,75056,F,Albertine,7,2012
Paris,75056,F,Alessia,6,2012
Paris,75056,M,Aly,6,2012
Paris,75056,F,Amélia,16,2012
Paris,75056,F,Anaé,10,2012
Paris,75056,F,Anya,8,2012
Paris,75056,M,Abdallah,13,2012
Paris,75056,F,Assa,10,2012
Paris,75056,M,Andrea,35,2012
Paris,75056,F,Aurélia,5,2012
Paris,75056,M,Arnaud,11,2012
Paris,75056,F,Avril,6,2012
Paris,75056,M,Ayden,10,2012
Paris,75056,F,Brune,27,2012
Paris,75056,M,Boubacar,11,2012
Paris,75056,F,Chelsea,6,2012
Paris,75056,F,Cassandra,6,2012
Paris,75056,F,Clotilde,15,2012
Paris,75056,M,Charly,16,2012
Paris,75056,M,Dario,6,2012
Paris,75056,M,Darius,13,2012
Paris,75056,F,Farah,24,2012
Paris,75056,F,Elia,13,2012
Paris,75056,F,Flora,17,2012
Paris,75056,F,Emy,23,2012
Paris,75056,F,Hanna,19,2012
Paris,75056,M,Eric,14,2012
Paris,75056,F,Hélène,16,2012
Paris,75056,F,Fatima,27,2012
Paris,75056,M,Ilyess,8,2012
Paris,75056,M,Ferdinand,14,2012
Paris,75056,M,Jacob,5,2012
Paris,75056,F,Fleur,15,2012
Paris,75056,M,Jonathan,21,2012
Paris,75056,M,Florian,23,2012
Paris,75056,M,Josh,6,2012
Paris,75056,F,Gaïa,11,2012
Paris,75056,F,Judith,20,2012
Paris,75056,M,Grégoire,22,2012
Paris,75056,M,Kim,5,2012
Paris,75056,F,Hafsa,9,2012
Paris,75056,M,Lamine,18,2012
Paris,75056,F,Hajar,10,2012
Paris,75056,F,Layana,5,2012
Paris,75056,F,Hermine,5,2012
Paris,75056,F,Lea,10,2012
Paris,75056,M,Ilhan,7,2012
Paris,75056,M,Leo,14,2012
Paris,75056,M,Ilyès,8,2012
Paris,75056,M,Levi,9,2012
Paris,75056,M,Ismaïl,17,2012
Paris,75056,M,Lubin,7,2012
Paris,75056,F,Jessica,13,2012
Paris,75056,M,Luc,27,2012
Paris,75056,M,Killian,6,2012
Paris,75056,F,Lucile,31,2012
Paris,75056,M,Kylian,33,2012
Paris,75056,M,Mathurin,9,2012
Paris,75056,F,Lahna,7,2012
Paris,75056,M,Mendel,6,2012
Paris,75056,M,Laurent,11,2012
Paris,75056,M,Mikaïl,5,2012
Paris,75056,M,Leonardo,12,2012
Paris,75056,F,Miya,6,2012
Paris,75056,F,Lily,41,2012
Paris,75056,F,Nelia,5,2012
Paris,75056,F,Lise,35,2012
Paris,75056,M,Nils,25,2012
Paris,75056,M,Livio,6,2012
Paris,75056,F,Pénélope,21,2012
Paris,75056,M,Lyam,13,2012
Paris,75056,M,Saul,5,2012
Paris,75056,F,Maé,6,2012
Paris,75056,F,Scarlett,10,2012
Paris,75056,F,Maelys,9,2012
Paris,75056,F,Sibylle,13,2012
Paris,75056,M,Mahé,11,2012
Paris,75056,M,Teddy,7,2012
Paris,75056,F,Malek,6,2012
Paris,75056,M,Théo,116,2012
Paris,75056,M,Malone,8,2012
Paris,75056,M,Vincent,19,2012
Paris,75056,F,Marine,11,2012
Paris,75056,M,Wilfried,6,2012
Paris,75056,M,Matisse,8,2012
Paris,75056,M,Yacine,42,2012
Paris,75056,M,Mattéo,11,2012
Paris,75056,M,Younes,19,2012
